#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
15419443	100003	100003	100003	PF13639	PTHR14155,PTHR14155:SF158				GO:0008270,GO:0005515	AT5G45290.1		RING/U-box superfamily protein
15418807	10002	10002	10002	PF13812,PF01535,PF13041	PTHR24015					AT1G18485.1		Pentatricopeptide repeat (PPR) superfamily protein
15419492	100026	100026	100026	PF05739,PF09177	PTHR19957,PTHR19957:SF124	KOG3202		K08498	GO:0005515,GO:0048193,GO:0016020	AT1G28490.1	ATSYP61,OSM1,SYP61	syntaxin of plants 61
15419493	100028	100028	100028	PF13812,PF12854,PF13041,PF01535	PTHR24015					AT4G02750.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15419510	100032	100032	100032	PF12697	PTHR10992,PTHR10992:SF766	KOG4178	3.3.2.10			AT3G51000.1		alpha/beta-Hydrolases superfamily protein
15419568	100054	100054	100054	PF01909,PF03828	PTHR12271,PTHR12271:SF53		2.7.7.19		GO:0016779	AT2G45620.1		Nucleotidyltransferase family protein
15419617	100071	100071	100071	PF12854,PF01535	PTHR24015					AT4G02750.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15419652	100087	100087	100087		PTHR10997,PTHR10997:SF9	KOG2274				AT1G26170.1		ARM repeat superfamily protein
15420216	100105	100105	100105		PTHR22983,PTHR22983:SF15		2.7.11.1	K17545		AT5G18700.1	EMB3013,RUK	Protein kinase family protein with ARM repeat domain
15420273	100125	100125	100125	PF13812,PF01535	PTHR24015					AT3G09040.1		Pentatricopeptide repeat (PPR) superfamily protein
15420291	100130	100130	100130	PF12706,PF07522	PTHR23240,PTHR23240:SF9			K15341		AT1G27410.1		DNA repair metallo-beta-lactamase family protein
15420322	100146	100146	100146	PF16544	PTHR11208,PTHR11208:SF42	KOG1588		K14945		AT5G56140.1		RNA-binding KH domain-containing protein
15420342	100159	100159	100159	PF00149	PTHR11668,PTHR11668:SF278		3.1.3.16	K15423	GO:0016787	AT5G55260.1	PPX-2,PPX2	protein phosphatase X 2
15420360	100162	100162	100162	PF03953,PF00091	PTHR11588,PTHR11588:SF101			K07374	GO:0003924,GO:0007017,GO:0005874	AT1G50010.1	TUA2	tubulin alpha-2 chain
15420366	100166	100166	100166	PF13812,PF01535	PTHR24015					AT4G02750.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15420369	100168	100168	100168	PF02791,PF10537	PTHR15546					AT5G08630.1		DDT domain-containing protein
15420370	100169	100169	100169				6.3.2.19					
15420411	100180	100180	100180	PF10274	PTHR21207,PTHR21207:SF2	KOG3961						
15420940	100200	100200	100200	PF12697	PTHR10992,PTHR10992:SF872	KOG1454				AT1G26360.1	ATMES13,MES13	methyl esterase 13
15420961	100216	100216	100216	PF14432,PF13812,PF01535	PTHR24015					AT4G02750.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15420993	100233	100233	100233	PF01480	PTHR23148			K13171	GO:0006397	AT2G29210.1		splicing factor PWI domain-containing protein
15421035	100257	100257	100257	PF00657	PTHR22835		3.1.1.3		GO:0016788	AT1G71250.1		GDSL-like Lipase/Acylhydrolase superfamily protein
15421057	100267	100267	100267	PF04791	PTHR21355,PTHR21355:SF2	KOG2296				AT5G65290.1		LMBR1-like membrane protein
15421067	100270	100270	100270	PF03810,PF08389	PTHR12363,PTHR12363:SF32	KOG2081		K15436	GO:0008536,GO:0006886	AT5G62600.1		ARM repeat superfamily protein
15421096	100288	100288	100288	PF00808	PTHR11064,PTHR11064:SF27			K08065		AT4G14540.1	NF-YB3	nuclear factor Y, subunit B3
15421112	100293	100293	100293	PF07065	PTHR15323,PTHR15323:SF6	KOG2983			GO:0007049	AT4G05440.1	EDA35	temperature sensing protein-related
15421637	100308	100308	100308	PF01535	PTHR24015					AT4G02750.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15421665	100311	100311	100311	PF00076	PTHR24012,PTHR24012:SF421				GO:0003676	AT1G76460.1		RNA-binding (RRM/RBD/RNP motifs) family protein
15421666	100312	100312	100312	PF02148,PF13423	PTHR24006,PTHR24006:SF441	KOG1867	3.4.19.12	K11366	GO:0008270	AT5G10790.1	UBP22	ubiquitin-specific protease 22
15418905	10032	10032	10032	PF15044,PF13424,PF12807	PTHR12601,PTHR12601:SF9			K03255		AT4G28080.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15421745	100345	100345	100345	PF05199	PTHR11552,PTHR11552:SF135				GO:0055114,GO:0016614			
15421747	100348	100348	100348	PF02779,PF02780	PTHR11624,PTHR11624:SF21		1.2.4.4	K00167	GO:0008152,GO:0003824	AT3G13450.1	DIN4	Transketolase family protein
15421769	100350	100350	100350	PF13812,PF01535	PTHR24015					AT1G56690.1		Pentatricopeptide repeat (PPR) superfamily protein
15421770	100351	100351	100351	PF13561	PTHR24322,PTHR24322:SF581	KOG1205	1.1.1.146			AT5G50600.1	ATHSD1,HSD1	hydroxysteroid dehydrogenase 1
15421796	100366	100366	100366	PF11817	PTHR14374					AT5G65950.1		
15421797	100367	100367	100367	PF01966,PF04607	PTHR21262,PTHR21262:SF14	KOG1157	2.7.6.5		GO:0015969	AT1G54130.1	AT-RSH3,ATRSH3,RSH3	RELA/SPOT homolog 3
15421816	100378	100378	100378	PF01704	PTHR11952,PTHR11952:SF9	KOG2388	2.7.7.9,2.7.7.64,2.7.7.10	K12447	GO:0070569,GO:0008152	AT5G52560.1	ATUSP,USP	UDP-sugar pyrophosphorylase
15421837	100388	100388	100388	PF01535	PTHR24015					AT2G35030.1		Pentatricopeptide repeat (PPR) superfamily protein
15421868	100394	100394	100394	PF01535,PF12854,PF13041	PTHR24015					AT1G09900.1		Pentatricopeptide repeat (PPR-like) superfamily protein
15421873	100397	100397	100397		PTHR22731					AT4G34310.1		alpha/beta-Hydrolases superfamily protein
15422497	100429	100429	100429	PF00188	PTHR10334,PTHR10334:SF204					AT5G57625.1		CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
15422570	100448	100448	100448	PF12854,PF13812	PTHR24015					AT3G57430.1	OTP84	Tetratricopeptide repeat (TPR)-like superfamily protein
15422593	100454	100454	100454	PF00076	PTHR24012,PTHR24012:SF333	KOG0148			GO:0003676	AT1G47500.1	ATRBP47C\',RBP47C\'	RNA-binding protein 47C\'
15422598	100459	100459	100459									
15422613	100460	100460	100460	PF01042	PTHR11803,PTHR11803:SF13	KOG2317	3.5.99.10			AT3G20390.1		endoribonuclease L-PSP family protein
15422619	100467	100467	100467	PF00072	PTHR24423		2.7.13.3		GO:0000160	AT5G35750.1	AHK2,HK2	histidine kinase 2
15422640	100475	100475	100475	PF01536	PTHR11570	KOG0788	4.1.1.50	K01611	GO:0008295,GO:0006597,GO:0004014	AT3G25570.2		Adenosylmethionine decarboxylase family protein
15422654	100482	100482	100482	PF02880,PF02879,PF02878	PTHR22573,PTHR22573:SF18	KOG1220	5.4.2.8,5.4.2.2		GO:0016868,GO:0005975	AT5G17530.3		phosphoglucosamine mutase family protein
15423179	100501	100501	100501	PF01612	PTHR13620		3.6.4.12		GO:0008408,GO:0006139,GO:0003676	AT4G13870.2	ATWEX,ATWRNEXO,WEX,WRNEXO	Werner syndrome-like exonuclease
15423199	100511	100511	100511	PF14432,PF13041,PF13812	PTHR24015					AT3G23330.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15423200	100512	100512	100512	PF00076	PTHR23139	KOG0130		K12876	GO:0003676	AT1G51510.1	Y14	RNA-binding (RRM/RBD/RNP motifs) family protein
15423206	100519	100519	100519	PF00415	PTHR22870	KOG1427				AT5G08710.1		Regulator of chromosome condensation (RCC1) family protein
15423231	100523	100523	100523	PF03226	PTHR13848,PTHR13848:SF9	KOG3399				AT4G27745.1		Yippee family putative zinc-binding protein
15423312	100569	100569	100569	PF04450	PTHR33321,PTHR33321:SF2					AT2G15220.1		Plant basic secretory protein (BSP) family protein
15423352	100582	100582	100582	PF07690	PTHR23503,PTHR23503:SF37	KOG0254			GO:0055085,GO:0016021	AT1G67300.1		Major facilitator superfamily protein
15423360	100588	100588	100588	PF04450	PTHR33321					AT2G15220.1		Plant basic secretory protein (BSP) family protein
15423387	100599	100599	100599	PF01842	PTHR31096,PTHR31096:SF22		2.7.7.59		GO:0016597,GO:0008152	AT1G76990.3	ACR3	ACT domain repeat 3
15401731	100620	100620	100620	PF01535	PTHR24015					AT4G02750.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15401733	100621	100621	100621	PF13041,PF01535	PTHR24015					AT1G11290.1	CRR22	Pentatricopeptide repeat (PPR) superfamily protein
15401766	100633	100633	100633	PF04450	PTHR33321					AT2G15220.1		Plant basic secretory protein (BSP) family protein
15401769	100635	100635	100635	PF04450	PTHR33321					AT2G15220.1		Plant basic secretory protein (BSP) family protein
15401828	100651	100651	100651	PF13812,PF01535	PTHR24015					AT1G06140.1		Pentatricopeptide repeat (PPR) superfamily protein
15418977	10066	10066	10066	PF01535,PF13041	PTHR24015					AT1G11290.1	CRR22	Pentatricopeptide repeat (PPR) superfamily protein
15401860	100667	100667	100667	PF04450	PTHR33321,PTHR33321:SF2					AT2G15220.1		Plant basic secretory protein (BSP) family protein
15401892	100679	100679	100679	PF00560	PTHR27000				GO:0005515	AT1G73080.1	ATPEPR1,PEPR1	PEP1 receptor 1
15401911	100681	100681	100681	PF01535	PTHR24015					AT2G35030.1		Pentatricopeptide repeat (PPR) superfamily protein
15402428	100702	100702	100702	PF03009	PTHR23344,PTHR23344:SF5	KOG2258	3.1.4.46		GO:0008081,GO:0006629,GO:0008889	AT5G55480.1	SVL1	SHV3-like 1
15402459	100719	100719	100719	PF13812,PF01535	PTHR24015,PTHR24015:SF379					AT2G35030.1		Pentatricopeptide repeat (PPR) superfamily protein
15402505	100734	100734	100734	PF13921	PTHR10641,PTHR10641:SF585					AT5G58850.1	ATMYB119,MYB119	myb domain protein 119
15402525	100748	100748	100748	PF07714	PTHR24058,PTHR24058:SF22	KOG0671	2.7.12.1	K18669	GO:0006468,GO:0004672	AT5G35980.1	YAK1	yeast YAK1-related gene 1
15402537	100752	100752	100752		PTHR35124					AT5G19060.1		
15419008	10077	10077	10077	PF00201	PTHR11926	KOG1192	2.4.1.324		GO:0016758,GO:0008152	AT1G22340.1	AtUGT85A7,UGT85A7	UDP-glucosyl transferase 85A7
15402576	100775	100775	100775	PF12697	PTHR10992,PTHR10992:SF766	KOG4178	3.3.2.10			AT3G51000.1		alpha/beta-Hydrolases superfamily protein
15402581	100778	100778	100778	PF00657	PTHR22835				GO:0016788	AT1G71120.1	GLIP6	GDSL-motif lipase/hydrolase 6
